,vehicle_lane,lon,lat,timestep,vehicle_type,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
114,-101154827,24.92771090737302,60.16258061095071,57,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,-101154827,24.92771090737302,60.16258061095071,57,fuel,73.51118476705791,2722.59,50733.73,677.89,341.19,3.22,23.0
116,-101154827,24.92771090737302,60.16258061095071,58,electric,73.1489099674342,0.0,0.0,0.0,0.0,3.17,16.0
117,-101154827,24.92771090737302,60.16258061095071,58,fuel,72.0869688922725,1725.81,32342.87,368.71,281.53,2.72,11.0
118,-101154827,24.92771090737302,60.16258061095071,59,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,-101154827,24.92771090737302,60.16258061095071,59,fuel,71.48955026583619,1390.0,24762.07,299.94,213.10999999999999,2.29,10.0
120,-1066551973,24.94429987281493,60.16414450332082,0,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,-1066551973,24.94429987281493,60.16414450332082,0,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,-1066551973,24.94429987281493,60.16414450332082,1,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-1066551973,24.94429987281493,60.16414450332082,1,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,-1066551973,24.94429987281493,60.16414450332082,2,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,-1066551973,24.94429987281493,60.16414450332082,2,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,-1066551973,24.94429987281493,60.16414450332082,3,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,-1066551973,24.94429987281493,60.16414450332082,3,fuel,55.94,100.2,1707.0,30.49,1.49,0.0,1.0
128,-1066551973,24.94429987281493,60.16414450332082,4,electric,58.95029995663981,0.0,0.0,0.0,0.0,0.0,2.0
129,-1066551973,24.94429987281493,60.16414450332082,4,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,-1066551973,24.94429987281493,60.16414450332082,5,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,-1066551973,24.94429987281493,60.16414450332082,5,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,-1066551973,24.94429987281493,60.16414450332082,6,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,-1066551973,24.94429987281493,60.16414450332082,6,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,-1066551973,24.94429987281493,60.16414450332082,7,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,-1066551973,24.94429987281493,60.16414450332082,7,fuel,48.97,0.0,0.0,0.0,0.0,0.0,1.0
136,-1066551973,24.94429987281493,60.16414450332082,8,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,-1066551973,24.94429987281493,60.16414450332082,8,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,-1066551973,24.94429987281493,60.16414450332082,9,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,-1066551973,24.94429987281493,60.16414450332082,9,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,-1066551973,24.94429987281493,60.16414450332082,10,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,-1066551973,24.94429987281493,60.16414450332082,10,fuel,50.58,0.0,0.0,0.0,0.0,0.0,1.0
142,-1066551973,24.94429987281493,60.16414450332082,11,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,-1066551973,24.94429987281493,60.16414450332082,11,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,-1066551973,24.94429987281493,60.16414450332082,12,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,-1066551973,24.94429987281493,60.16414450332082,12,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,-1066551973,24.94429987281493,60.16414450332082,13,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,-1066551973,24.94429987281493,60.16414450332082,13,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,-1066551973,24.94429987281493,60.16414450332082,14,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,-1066551973,24.94429987281493,60.16414450332082,14,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,-1066551973,24.94429987281493,60.16414450332082,15,electric,55.94,0.0,0.0,0.0,0.0,0.0,1.0
151,-1066551973,24.94429987281493,60.16414450332082,15,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,-1066551973,24.94429987281493,60.16414450332082,16,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,-1066551973,24.94429987281493,60.16414450332082,16,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,-1066551973,24.94429987281493,60.16414450332082,17,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,-1066551973,24.94429987281493,60.16414450332082,17,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,-1066551973,24.94429987281493,60.16414450332082,18,electric,60.08,0.0,0.0,0.0,0.0,0.19,1.0
157,-1066551973,24.94429987281493,60.16414450332082,18,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,-1066551973,24.94429987281493,60.16414450332082,19,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,-1066551973,24.94429987281493,60.16414450332082,19,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,-1066551973,24.94429987281493,60.16414450332082,20,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,-1066551973,24.94429987281493,60.16414450332082,20,fuel,46.0,0.0,0.0,0.0,0.0,0.0,1.0
162,-1066551973,24.94429987281493,60.16414450332082,21,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,-1066551973,24.94429987281493,60.16414450332082,21,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,-1066551973,24.94429987281493,60.16414450332082,22,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,-1066551973,24.94429987281493,60.16414450332082,22,fuel,63.20330892231293,273.4,5059.66,64.77,33.02,0.29,2.0
166,-1066551973,24.94429987281493,60.16414450332082,23,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,-1066551973,24.94429987281493,60.16414450332082,23,fuel,61.04709860292472,0.0,0.0,0.0,0.0,0.0,2.0
168,-1066551973,24.94429987281493,60.16414450332082,24,electric,45.17,0.0,0.0,0.0,0.0,0.0,1.0
169,-1066551973,24.94429987281493,60.16414450332082,24,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,-1066551973,24.94429987281493,60.16414450332082,25,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,-1066551973,24.94429987281493,60.16414450332082,25,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,-1066551973,24.94429987281493,60.16414450332082,26,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,-1066551973,24.94429987281493,60.16414450332082,26,fuel,51.63,0.0,0.0,0.0,0.0,0.0,1.0
174,-1066551973,24.94429987281493,60.16414450332082,27,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,-1066551973,24.94429987281493,60.16414450332082,27,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,-1066551973,24.94429987281493,60.16414450332082,28,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,-1066551973,24.94429987281493,60.16414450332082,28,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,-1066551973,24.94429987281493,60.16414450332082,29,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,-1066551973,24.94429987281493,60.16414450332082,29,fuel,54.71438750326007,0.0,0.0,0.0,0.0,0.0,2.0
180,-1066551973,24.94429987281493,60.16414450332082,30,electric,61.77,0.0,0.0,0.0,0.0,0.19,1.0
181,-1066551973,24.94429987281493,60.16414450332082,30,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,-1066551973,24.94429987281493,60.16414450332082,31,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,-1066551973,24.94429987281493,60.16414450332082,31,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,-1066551973,24.94429987281493,60.16414450332082,32,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,-1066551973,24.94429987281493,60.16414450332082,32,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,-1066551973,24.94429987281493,60.16414450332082,33,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,-1066551973,24.94429987281493,60.16414450332082,33,fuel,59.88,133.58,2019.78,32.12,13.86,0.2,1.0
188,-1066551973,24.94429987281493,60.16414450332082,34,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,-1066551973,24.94429987281493,60.16414450332082,34,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,-1066551973,24.94429987281493,60.16414450332082,35,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
