#{"t_start": 1702421561.7441263, "env_id": "sumo-rl-rs-v0"}
r,l,t
20710.6,3000,8072.659097
20751.52,3000,8085.562974
20309.54,3000,8098.609594
20990.84,3000,8111.55423
20543.57,3000,8124.313251
20365.23,3000,8137.378923
20316.57,3000,8150.355446
20304.57,3000,8163.498003
19495.24,3000,8176.367956
20645.68,3000,8189.184811
20750.75,3000,8202.125647
21084.38,3000,8215.127549
20311.58,3000,8227.910823
20510.81,3000,8240.711471
20658.6,3000,8253.577667
20606.38,3000,8266.413747
20756.76,3000,8279.312176
21016.7,3000,8292.263161
20285.92,3000,8305.257691
20854.23,3000,8318.176148
21116.41,3000,8331.250696
20623.03,3000,8344.321173
21065.72,3000,8357.403311
20776.65,3000,8370.210038
20522.03,3000,8383.028342
20487.8,3000,8395.769588
20493.51,3000,8408.869079
20365.7,3000,8421.680325
21279.85,3000,8434.608213
20982.43,3000,8447.674883
20611.67,3000,8460.533385
20319.26,3000,8473.362298
20739.34,3000,8486.212414
20878.89,3000,8499.081187
20902.01,3000,8512.025801
20592.35,3000,8524.917149
19414.51,3000,8537.830458
20978.62,3000,8550.597407
20545.86,3000,8563.594818
21378.6,3000,8576.534699
18615.27,3000,8591.124425
17355.92,3000,8596.297794
18701.72,3000,8601.600854
18523.79,3000,8606.60992
